alert_id,transaction_id,risk_score,risk_level,reason,status,created_at,actual_label,assigned_to,reviewed_at,resolution,comments,resolved_at,resolution_time_minutes
cc0b5e17,7656,0.9546270572127412,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
5422a050,6916,0.6079393812644236,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_A,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
27f55fe9,8121,0.8518670515541216,High,"Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
2596d55d,7166,0.6016611765189226,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_C,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
3ddf093d,6157,0.7347600903498741,High,Low Device Trust,Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
101589b7,6394,0.6738410750081032,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_B,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
4030e70d,3148,0.6121715929872464,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_B,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
d14859fc,7590,0.8289524889384727,High,"Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
e3e04857,67,0.6147364074105252,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_B,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
576dcbda,7698,0.6219363899099197,High,"Location Mismatch, High Transaction Velocity, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_A,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
6820c11e,5856,0.972468942084418,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
5eb4322e,3300,0.8033050795002664,High,"Foreign Transaction, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_B,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
628d74ee,6788,0.6502748540614643,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_C,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
cbc087a1,4011,0.8995542883872986,High,"Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_C,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
30044247,775,0.6052886982272758,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_B,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
a2259e6a,4345,0.8169977530619679,High,"Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,1,Analyst_A,2026-02-24 13:57:21.756114,Fraud Confirmed,Confirmed suspicious pattern. Card blocked.,2026-02-24 13:57:21.758112,3.33e-05
f4ba0ea7,2764,0.6054922391123001,High,"Foreign Transaction, Location Mismatch, Low Device Trust",Closed,2026-02-24 13:57:21.536778,0,Analyst_B,2026-02-24 13:57:21.756114,False Positive,Transaction verified with customer. No fraud detected.,2026-02-24 13:57:21.758112,3.33e-05
